date,code,exchange,open,high,low,close,volume,count_trx
2002-02-13,GME,NYSE,2.40625,2.51375,2.3875,2.5125,70717600.0,
2002-02-14,GME,NYSE,2.54375,2.54375,2.4875,2.5,10740000.0,
2002-02-15,GME,NYSE,2.5,2.50625,2.4625,2.4875,5116000.0,
2002-02-19,GME,NYSE,2.475,2.475,2.34375,2.3875,6470400.0,
2002-02-20,GME,NYSE,2.4,2.46875,2.38125,2.46875,4886400.0,
2002-02-21,GME,NYSE,2.46,2.48125,2.4375,2.4625,4509600.0,
2002-02-22,GME,NYSE,2.48125,2.48125,2.4,2.41875,3095200.0,
2002-02-25,GME,NYSE,2.4125,2.45625,2.38625,2.4375,3386400.0,
2002-02-26,GME,NYSE,2.425,2.4625,2.38625,2.4375,2732800.0,
2002-02-27,GME,NYSE,2.41875,2.42,2.375,2.39375,4022400.0,
2002-02-28,GME,NYSE,2.4,2.43125,2.3875,2.3875,2677600.0,
2002-03-01,GME,NYSE,2.38125,2.44375,2.3725,2.42125,1372000.0,
2002-03-04,GME,NYSE,2.43125,2.47625,2.4275,2.4625,3142400.0,
2002-03-05,GME,NYSE,2.45,2.45625,2.395,2.40625,3414400.0,
2002-03-06,GME,NYSE,2.405,2.42875,2.4,2.41875,1296000.0,
2002-03-07,GME,NYSE,2.41875,2.575,2.41875,2.5525,2568000.0,
2002-03-08,GME,NYSE,2.5375,2.625,2.5375,2.6125,1519200.0,
2002-03-11,GME,NYSE,2.6,2.675,2.59375,2.64625,3120000.0,
2002-03-12,GME,NYSE,2.625,2.7375,2.625,2.65,5333600.0,
2002-03-13,GME,NYSE,2.65,2.6875,2.58125,2.6275,1734400.0,
2002-03-14,GME,NYSE,2.6275,2.64875,2.605,2.625,1492800.0,
2002-03-15,GME,NYSE,2.625,2.6375,2.4875,2.54375,1621600.0,
2002-03-18,GME,NYSE,2.55,2.55,2.38125,2.4125,2109600.0,
2002-03-19,GME,NYSE,2.43125,2.435,2.325,2.3375,2992000.0,
2002-03-20,GME,NYSE,2.31875,2.31875,2.125,2.2525,9016000.0,
2002-03-21,GME,NYSE,2.2525,2.40625,2.2525,2.34375,4533600.0,
2002-03-22,GME,NYSE,2.34375,2.44875,2.31375,2.4125,2451200.0,
2002-03-25,GME,NYSE,2.4375,2.47625,2.3975,2.465,7398400.0,
2002-03-26,GME,NYSE,2.5,2.5125,2.4725,2.4975,1732800.0,
2002-03-27,GME,NYSE,2.4975,2.625,2.4875,2.575,1292000.0,
2002-03-28,GME,NYSE,2.5625,2.575,2.5125,2.525,1681600.0,
2002-04-01,GME,NYSE,2.50625,2.50625,2.375,2.38125,1826400.0,
2002-04-02,GME,NYSE,2.375,2.375,2.29375,2.33,2045600.0,
2002-04-03,GME,NYSE,2.33125,2.35,2.305,2.325,524800.0,
2002-04-04,GME,NYSE,2.31875,2.38125,2.31875,2.36875,740000.0,
2002-04-05,GME,NYSE,2.36875,2.425,2.31125,2.31125,516000.0,
2002-04-08,GME,NYSE,2.325,2.325,2.22125,2.2875,1438400.0,
2002-04-09,GME,NYSE,2.275,2.4,2.275,2.36875,3281600.0,
2002-04-10,GME,NYSE,2.3625,2.38125,2.34375,2.365,1284800.0,
2002-04-11,GME,NYSE,2.36375,2.36375,2.3125,2.3125,1399200.0,
2002-04-12,GME,NYSE,2.33125,2.33125,2.25875,2.28125,1198400.0,
2002-04-15,GME,NYSE,2.275,2.32125,2.27375,2.32,1491200.0,
2002-04-16,GME,NYSE,2.34375,2.4,2.34375,2.375,1168800.0,
2002-04-17,GME,NYSE,2.40625,2.53125,2.40625,2.47625,1613600.0,
2002-04-18,GME,NYSE,2.47625,2.51875,2.4675,2.47625,915200.0,
2002-04-19,GME,NYSE,2.47625,2.54375,2.47625,2.53375,632000.0,
2002-04-22,GME,NYSE,2.51875,2.51875,2.48125,2.5,761600.0,
2002-04-23,GME,NYSE,2.49375,2.53125,2.4425,2.44375,705600.0,
2002-04-24,GME,NYSE,2.44,2.45125,2.425,2.42625,936000.0,
2002-04-25,GME,NYSE,2.42625,2.42625,2.4,2.425,1690400.0,
2002-04-26,GME,NYSE,2.4125,2.4475,2.40625,2.40625,1648000.0,
2002-04-29,GME,NYSE,2.39375,2.39375,2.35,2.3625,2556000.0,
2002-04-30,GME,NYSE,2.34375,2.4125,2.3375,2.38125,4848800.0,
2002-05-01,GME,NYSE,2.4125,2.5625,2.4125,2.5625,1589600.0,
2002-05-02,GME,NYSE,2.55,2.62375,2.55,2.6025,568800.0,
2002-05-03,GME,NYSE,2.6,2.60125,2.57,2.6,441600.0,
2002-05-06,GME,NYSE,2.59875,2.8125,2.59875,2.71875,1962400.0,
2002-05-07,GME,NYSE,2.70625,2.75,2.68125,2.6875,431200.0,
2002-05-08,GME,NYSE,2.7125,2.8125,2.7125,2.8,592800.0,
2002-05-09,GME,NYSE,2.8125,2.9,2.8125,2.85625,788800.0,
2002-05-10,GME,NYSE,2.875,2.92875,2.75,2.7575,674400.0,
2002-05-13,GME,NYSE,2.75875,2.75875,2.60625,2.6875,1899200.0,
